Title; death_cause; Occupation; Death_Year; Birth_Year; Death_Place
Anthony_Yeo​​​​;Burkitt's lymphoma​​​​;None​​​​;2009​​​​;None​​​​;Singapore​​​​
Antoine_Lavoisier​​​​;Guillotine​​​​;None​​​​;None​​​​;None​​​​;['Paris', 'French First Republic']​​​​
Antoine_Quentin_Fouquier-Tinville​​​​;Guillotine​​​​;Antoine_Quentin_Fouquier-Tinville__1​​​​;1795​​​​;1746​​​​;Paris​​​​
Anton_Jude​​​​;Cardiac arrest​​​​;Anton_Jude__1​​​​;2012​​​​;1960​​​​;Colombo​​​​
Anton_Kaufman​​​​;Suicide​​​​;None​​​​;1943​​​​;1883​​​​;['Newark New Jersey', 'Robert Treat Center']​​​​
Anton_Walbrook​​​​;Myocardial infarction​​​​;Anton_Walbrook__1​​​​;1967​​​​;1896​​​​;['Bavaria', 'Germany', 'Lake Starnberg']​​​​
Antoni_Naumczyk​​​​;LOT Polish Airlines Flight 165​​​​;['Antoni_Naumczyk__1', 'Protonotary apostolic']​​​​;1969​​​​;1925​​​​;['Poland', 'Zawoja']​​​​
Antonio_Aguilar​​​​;Pneumonia​​​​;None​​​​;2007​​​​;1919​​​​;['Mexico City', 'Mexico']​​​​
Albert_A._Bühlmann​​​​;Heart failure​​​​;None​​​​;1994​​​​;1923​​​​;None​​​​
Albert_Carlo_Iversen​​​​;['Ballistic trauma', 'Execution by firing squad']​​​​;Albert_Carlo_Iversen__1​​​​;1944​​​​;1895​​​​;Ryvangen Memorial Park​​​​
Albert_E._Kahn​​​​;Myocardial infarction​​​​;None​​​​;1979​​​​;1912​​​​;Glen Ellen California​​​​
Albert_Lewin​​​​;Pneumonia​​​​;Albert_Lewin__1​​​​;1968​​​​;1894​​​​;None​​​​
Albert_Salmi​​​​;Suicide methods​​​​;Albert_Salmi__1​​​​;1990​​​​;1928​​​​;Spokane Washington​​​​
Albert_Vögler​​​​;Suicide​​​​;['Albert_Vögler__1', 'Politician', 'Business magnate']​​​​;1945​​​​;1877​​​​;Herdecke​​​​
Alberta_Gay​​​​;Bone tumor​​​​;['Alberta_Gay__1', 'Teacher', 'Domestic worker']​​​​;1987​​​​;1913​​​​;Los Angeles​​​​
Alberta_Watson​​​​;Cancer​​​​;['Alberta_Watson__1', 'Actor']​​​​;2015​​​​;1955​​​​;['Toronto', 'Canada', 'Ontario']​​​​
Alberto_Granado​​​​;Death by natural causes​​​​;Alberto_Granado__1​​​​;2011​​​​;1922​​​​;['Havana', 'Cuba']​​​​
Aldo_Ray​​​​;Head and neck cancer​​​​;['Aldo_Ray__1', 'Actor']​​​​;1991​​​​;1926​​​​;Martinez California​​​​
Alec_Clunes​​​​;Lung cancer​​​​;Alec_Clunes__1​​​​;1970​​​​;1912​​​​;London​​​​
Alec_N._Wildenstein​​​​;Prostate cancer​​​​;['Alec_N._Wildenstein__1', 'Art dealer', 'Breeder']​​​​;2008​​​​;1940​​​​;['Paris', 'France']​​​​
Alejandro_Rey​​​​;Lung cancer​​​​;Alejandro_Rey__1​​​​;1987​​​​;1930​​​​;Los Angeles​​​​
Aleksandar_Savić​​​​;The Holocaust​​​​;Aleksandar_Savić__1​​​​;1941​​​​;1923​​​​;Jadovno concentration camp​​​​
Aleksandr_Abdulov​​​​;Lung cancer​​​​;None​​​​;2008​​​​;1953​​​​;['Moscow', 'Russia']​​​​
Aleksei_Smirnov_(actor)​​​​;Cardiovascular disease​​​​;None​​​​;1979​​​​;1920​​​​;['Russia', 'Saint Petersburg']​​​​
Alethea_Charlton​​​​;Melanoma​​​​;['Alethea_Charlton__1', 'Actor']​​​​;1976​​​​;1931​​​​;Chelsea London​​​​
Alex_(parrot)​​​​;Atherosclerosis​​​​;None​​​​;2007​​​​;1976​​​​;Waltham Massachusetts​​​​
Alex_Grass​​​​;Lung cancer​​​​;None​​​​;2009​​​​;1927​​​​;Harrisburg Pennsylvania​​​​
Alex_Macdonald_(trade_unionist)​​​​;Myocardial infarction​​​​;Alex_Macdonald_(trade_unionist)__1​​​​;1969​​​​;1910​​​​;['Princess Alexandra Hospital', 'South Brisbane Queensland']​​​​
Alex_Rocco​​​​;Pancreatic cancer​​​​;['Alex_Rocco__1', 'Actor']​​​​;2015​​​​;1936​​​​;Los Angeles​​​​
Alexander_Berkman​​​​;Suicide​​​​;['Alexander_Berkman__2', 'Alexander_Berkman__3']​​​​;1936​​​​;1870​​​​;['Nice', 'French Third Republic']​​​​
Alexander_Calvit​​​​;Pneumonia​​​​;Alexander_Calvit__1​​​​;1836​​​​;1784​​​​;['Texas', 'Brazoria County Texas']​​​​
Alexander_Gauge​​​​;Suicide​​​​;Alexander_Gauge__1​​​​;1960​​​​;1914​​​​;['United Kingdom', 'Surrey', 'Woking', 'England']​​​​
Alexander_Godunov​​​​;Hepatitis​​​​;['Alexander_Godunov__2', 'Alexander_Godunov__3', 'Alexander_Godunov__4', 'Ballet dancer']​​​​;1995​​​​;1949​​​​;['California', 'West Hollywood California', 'United States']​​​​
Alexander_Graham_Bell​​​​;Diabetes mellitus​​​​;['Alexander_Graham_Bell__2', 'Alexander_Graham_Bell__3', 'Alexander_Graham_Bell__5', 'Alexander_Graham_Bell__6', 'Alexander_Graham_Bell__10']​​​​;1922​​​​;1847​​​​;['Canada', 'Nova Scotia', 'Beinn Bhreagh Nova Scotia']​​​​
Alexander_Mackenzie_(explorer)​​​​;Bright's disease​​​​;['Alexander_Mackenzie_(explorer)__1', 'List of explorers']​​​​;1820​​​​;1764​​​​;['Dunkeld', 'Scotland']​​​​
Alexander_Pearson,_Jr.​​​​;Aviation accidents and incidents​​​​;['Alexander_Pearson_Jr.__1', 'Pilot (aeronautics)']​​​​;1924​​​​;1895​​​​;Fairfield Ohio​​​​
Alexander_S._Williams​​​​;Death by natural causes​​​​;Alexander_S._Williams__1​​​​;1917​​​​;1839​​​​;['Manhattan', 'United States']​​​​
Alexander_Zeisal_Bielski​​​​;Myocardial infarction​​​​;None​​​​;1995​​​​;1912​​​​;Brooklyn​​​​
Alfons_Maria_Jakob​​​​;Abscess​​​​;None​​​​;None​​​​;None​​​​;Hamburg​​​​
Alfred_Lynch​​​​;Cancer​​​​;None​​​​;2003​​​​;1931​​​​;None​​​​
Alfred_M._Boyce​​​​;Cancer​​​​;['Alfred_M._Boyce__1', 'Entomology']​​​​;1997​​​​;1901​​​​;Riverside California​​​​
Alfred_Müller_(entrepreneur)​​​​;The Holocaust​​​​;None​​​​;1945​​​​;1888​​​​;Dachau concentration camp​​​​
Ali_Abbasi​​​​;Lupus erythematosus​​​​;None​​​​;2004​​​​;1961​​​​;['Glasgow', 'Scotland']​​​​
Ali_al-Hadi​​​​;Poison​​​​;None​​​​;0868​​​​;0829​​​​;['Abbasid Caliphate', 'Samarra']​​​​
Ali_al-Ridha​​​​;Poison​​​​;None​​​​;0818​​​​;0766​​​​;['Iran', 'Abbasid Caliphate', 'Tus Iran']​​​​
Ali_al-Sayyed​​​​;ISIL beheading incidents​​​​;None​​​​;2014​​​​;1985​​​​;['Lebanon', 'Baalbek District', 'Arsal']​​​​
Ali_ibn_Husayn_Zayn_al-Abidin​​​​;Poison​​​​;None​​​​;0713​​​​;0659​​​​;['Medina', 'Umayyad Caliphate']​​​​
Alice_Faye​​​​;Stomach cancer​​​​;Alice_Faye__1​​​​;1998​​​​;1915​​​​;Rancho Mirage California​​​​
Alice_Fisher_(nurse)​​​​;Cardiovascular disease​​​​;None​​​​;1888​​​​;1839​​​​;None​​​​
Alice_Hathaway_Lee_Roosevelt​​​​;Bright's disease​​​​;None​​​​;1884​​​​;1861​​​​;['Manhattan', 'New York']​​​​
Alice_Pearce​​​​;Ovarian cancer​​​​;Alice_Pearce__1​​​​;1966​​​​;1917​​​​;Hollywood​​​​
Alice_Rich_Northrop​​​​;Accident​​​​;None​​​​;1922​​​​;1863​​​​;['United States', 'Mt._Riga_New_York']​​​​
Alice_Vickery​​​​;Pneumonia​​​​;['Alice_Vickery__1', 'Physician']​​​​;1929​​​​;1844​​​​;Brighton​​​​
Alison_Des_Forges​​​​;Colgan Air Flight 3407​​​​;None​​​​;2009​​​​;1942​​​​;Clarence Center New York​​​​
Alison_Gertz​​​​;Pneumonia​​​​;Alison_Gertz__1​​​​;1992​​​​;1966​​​​;Westhampton Beach New York​​​​
Alla_Nazimova​​​​;Coronary thrombosis​​​​;Alla_Nazimova__1​​​​;1945​​​​;1879​​​​;Los Angeles​​​​
Allan_Arbus​​​​;Heart failure​​​​;['Allan_Arbus__1', 'Photographer', 'Actor']​​​​;2013​​​​;1918​​​​;['California', 'Los Angeles']​​​​
Allan_Carr​​​​;Hepatocellular carcinoma​​​​;Allan_Carr__1​​​​;1999​​​​;1937​​​​;Beverly Hills California​​​​
Allan_Kardec​​​​;Aneurysm​​​​;None​​​​;1869​​​​;1804​​​​;None​​​​
Allan_McKeown​​​​;Prostate cancer​​​​;Allan_McKeown__1​​​​;2013​​​​;1946​​​​;Los Angeles​​​​
Allan_Melvin​​​​;Cancer​​​​;Allan_Melvin__1​​​​;2008​​​​;1923​​​​;Los Angeles​​​​
Allan_Sherman​​​​;Chronic obstructive pulmonary disease​​​​;['Allan_Sherman__1', 'Comedy']​​​​;1973​​​​;1924​​​​;None​​​​
Allegra_Byron​​​​;['Malaria', 'Typhus']​​​​;None​​​​;1822​​​​;1817​​​​;Bagnacavallo​​​​
Allen_Holubar​​​​;Pneumonia​​​​;['Allen_Holubar__1', 'Screenwriter', 'Film director']​​​​;1923​​​​;1888​​​​;Los Angeles​​​​
Allen_Hoskins​​​​;Cancer​​​​;Allen_Hoskins__1​​​​;1980​​​​;1920​​​​;Oakland California​​​​
Allen_Ludden​​​​;Stomach cancer​​​​;['Allen_Ludden__1', 'Allen_Ludden__2', 'Allen_Ludden__3']​​​​;1981​​​​;1917​​​​;Los Angeles​​​​
Allison_Hayes​​​​;['Leukemia', 'Lead poisoning']​​​​;['Allison_Hayes__1', 'Model (people)']​​​​;1977​​​​;1930​​​​;San Diego​​​​
